run,classified_kj_std,classified_ckj_10,classified_ckj_20,Total reads,Viruses,cannot be assigned to a (non-viral) species,unclassified reads,detected_species_ck10,detected_species_ck20,detected_species_ck_std
SRR5962888,3179490.0,1586216.0,1484590.0,8002406.0,1093.0,3074591.0,1738839.0,8.0,6.0,2594.0
SRR6468688,19614209.0,7603398.0,7254272.0,49498637.0,2688471.0,10702230.0,15217519.0,46.0,34.0,4806.0
SRR6468611,21813086.0,9592151.0,8732586.0,50455612.0,20097.0,9254140.0,17601120.0,51.0,30.0,4913.0
SRR6468557,5836530.0,1616828.0,1531447.0,14793986.0,5845.0,4224486.0,4566562.0,11.0,8.0,3886.0
SRR5946727,4668578.0,2905218.0,2851606.0,8517566.0,2612.0,2187490.0,1649087.0,10.0,6.0,2659.0
SRR5950587,5376681.0,2168456.0,1858350.0,12410247.0,1336.0,3886282.0,3137968.0,15.0,9.0,2961.0
SRR6468592,1271028.0,586077.0,552642.0,5214336.0,25650.0,727358.0,2929796.0,6.0,4.0,1976.0
SRR6468627,5950849.0,2477410.0,2345653.0,16732557.0,4051.0,5224448.0,5079916.0,19.0,11.0,4301.0
SRR6468547,8047874.0,1753582.0,1691603.0,19712173.0,4810.0,3277705.0,7750495.0,18.0,13.0,4477.0
SRR5936033,5651141.0,482242.0,482100.0,15410030.0,3201.0,2434072.0,7314770.0,4.0,3.0,2770.0
SRR6468644,7910104.0,2771599.0,2687584.0,19273407.0,5424.0,3697759.0,6463990.0,18.0,15.0,4403.0
SRR6468674,8225448.0,2451196.0,2312808.0,18226762.0,5109.0,3579282.0,5721499.0,24.0,15.0,4360.0
ERR4775820,610343.0,100018.0,84142.0,1532680.0,7600.0,295882.0,608414.0,5.0,3.0,1156.0
SRR6468686,7438706.0,2660359.0,2565655.0,18480137.0,6801.0,3167859.0,7170655.0,21.0,17.0,4359.0
SRR6468565,4302863.0,959193.0,816710.0,11906309.0,6374.0,3507558.0,3791502.0,16.0,10.0,3566.0
SRR6468626,7203339.0,1990033.0,1845868.0,15809802.0,4526.0,3066737.0,5094414.0,19.0,12.0,4306.0
ERR4775890,806463.0,181979.0,144204.0,2001762.0,466.0,329585.0,853199.0,5.0,3.0,1835.0
SRR6468660,6385377.0,2047135.0,2004524.0,17077202.0,7596.0,3779827.0,6328615.0,16.0,12.0,4314.0
SRR6468515,6811152.0,2047911.0,1779081.0,17548626.0,9705.0,3761005.0,6618269.0,20.0,14.0,4365.0
SRR6468563,113595.0,28886.0,20068.0,2358863.0,19109.0,93372.0,1962477.0,5.0,2.0,333.0
ERR4776054,726271.0,114278.0,89905.0,1798767.0,525.0,364563.0,694691.0,7.0,5.0,1510.0
SRR6468643,7701853.0,2009549.0,1902982.0,19030323.0,3093.0,3761783.0,7074801.0,15.0,11.0,4278.0
ERR4775919,119040.0,35638.0,16635.0,191489.0,23.0,26242.0,42745.0,2.0,1.0,165.0
ERR4775598,648447.0,68919.0,40033.0,1689728.0,2437.0,470372.0,558530.0,3.0,2.0,1016.0
SRR6468544,4730623.0,1703593.0,1586732.0,11591229.0,37563.0,1865932.0,4785473.0,22.0,13.0,4298.0
SRR5935845,4992773.0,1585417.0,1487116.0,12773582.0,2982.0,3987971.0,3783673.0,12.0,10.0,3677.0
SRR6468648,9122036.0,3300958.0,3031663.0,24612287.0,6834.0,4025117.0,11009884.0,36.0,20.0,4711.0
SRR6468685,23562625.0,12013523.0,11820973.0,63285677.0,3273433.0,19699191.0,14697570.0,40.0,25.0,4773.0
ERR4775779,593236.0,76114.0,37393.0,1799610.0,1357.0,278609.0,916101.0,5.0,2.0,1438.0
ERR4775744,679339.0,143104.0,74869.0,1868370.0,399.0,487126.0,689769.0,7.0,3.0,1493.0
ERR4775640,753297.0,160021.0,160021.0,1879802.0,872.0,380328.0,734069.0,6.0,6.0,1497.0
SRR6468505,6732287.0,2920753.0,2788040.0,16532488.0,5040.0,5278060.0,3941748.0,20.0,17.0,3842.0
SRR6468706,6581743.0,2437167.0,2284619.0,16185090.0,83282.0,4077361.0,4295968.0,21.0,14.0,4116.0
SRR6468617,27395947.0,11284317.0,11065471.0,66861719.0,72636.0,11528079.0,25465029.0,51.0,42.0,4996.0
ERR4776013,794433.0,388984.0,388984.0,1709242.0,256.0,405976.0,497518.0,6.0,6.0,1160.0
SRR6468535,2070418.0,440630.0,330694.0,5639050.0,2434.0,857795.0,2580830.0,19.0,8.0,4070.0
SRR6468695,23920247.0,4275055.0,3591038.0,60144235.0,14381.0,15654052.0,18196346.0,37.0,23.0,4855.0
SRR6468578,12057708.0,5125565.0,4751554.0,31309944.0,20616.0,5692362.0,12471043.0,31.0,19.0,4691.0
SRR5950637,4167394.0,1329918.0,1283265.0,11020095.0,432833.0,3273306.0,3139996.0,11.0,8.0,3591.0
SRR6468621,6459062.0,2495218.0,2398749.0,14811009.0,4217.0,2772296.0,5090359.0,17.0,12.0,4257.0
SRR6468616,21147566.0,7082104.0,6519656.0,58087253.0,64229.0,8156510.0,25707258.0,63.0,38.0,5029.0
ERR4775749,588974.0,130909.0,96189.0,1581865.0,818.0,343091.0,638424.0,4.0,2.0,1106.0
ERR4775660,667563.0,142897.0,93063.0,1687073.0,2575.0,362628.0,642168.0,5.0,3.0,1414.0
SRR5947044,4712890.0,790770.0,608204.0,11343889.0,15281.0,3818708.0,2789772.0,9.0,5.0,2802.0
SRR6468545,7440928.0,1492848.0,1394468.0,19417437.0,19425.0,3728453.0,7090637.0,13.0,8.0,4138.0
SRR6468664,23843137.0,5125744.0,5078190.0,50023239.0,34623.0,14558426.0,9200183.0,13.0,10.0,4090.0
ERR4775932,203494.0,0.0,0.0,507636.0,179.0,78494.0,216111.0,0.0,0.0,737.0
ERR4775955,1026753.0,193010.0,158801.0,2658387.0,4357.0,635124.0,980624.0,6.0,4.0,1772.0
ERR4776004,1351133.0,326767.0,319623.0,3208087.0,1189.0,447914.0,1397874.0,8.0,7.0,2795.0
SRR5935759,5565554.0,1123366.0,567343.0,15312868.0,2422.0,2250105.0,7489296.0,9.0,4.0,3514.0
SRR5935904,6189925.0,852034.0,749462.0,15549345.0,1062.0,7003076.0,2345784.0,9.0,6.0,2387.0
SRR6468649,2816480.0,657236.0,569444.0,8358074.0,12954.0,1477968.0,3867638.0,15.0,9.0,3751.0
SRR5946905,7419721.0,3573368.0,3304085.0,17093786.0,2862.0,4447446.0,5219009.0,14.0,10.0,4073.0
SRR6468549,10036064.0,2370301.0,2281845.0,23802247.0,6273.0,4643634.0,8491801.0,17.0,12.0,4288.0
